country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Albania,89,132,54,4760.1
Algeria,25,0,14,868.5
Andorra,245,138,312,13707
Angola,217,57,45,6673.05
Antigua & Barbuda,102,128,45,4834.05
Argentina,193,25,221,9291.45
Armenia,21,179,11,2862.15
Australia,261,72,212,11264.4
Austria,279,75,191,11296.35
Azerbaijan,21,46,5,1144.65
Bahamas,122,176,37,5716.05
Bahrain,42,63,7,1880.55
Barbados,143,173,36,6151.2
Belarus,142,373,42,8649.3
Belgium,295,84,212,12204
Belize,263,114,8,7684.2
Benin,34,4,13,1106.85
Bhutan,23,0,0,538.2
Bolivia,167,41,8,4561.8
Bosnia-Herzegovina,76,173,8,4016.4
Botswana,173,35,35,5176.95
Brazil,245,145,16,7797
Brunei,31,2,1,769.65
Bulgaria,231,252,94,10332.9
Burkina Faso,25,7,7,810.75
Burundi,88,0,0,2059.2
Cabo Verde,144,56,16,4365.6
Cambodia,57,65,1,2134.05
Cameroon,147,1,4,3532.8
Canada,240,122,100,9105
Central African Republic,17,2,1,442.05
Chad,15,1,1,383.25
Chile,130,124,172,8013
China,79,192,8,4314.6
Colombia,159,76,3,4693.35
Comoros,1,3,1,79.65
Congo,76,1,9,1972.65
Cook Islands,0,254,74,4546.5
Costa Rica,149,87,11,4753.35
Cote d'Ivoire,37,1,7,1019.55
Croatia,230,87,254,11569.5
Cuba,93,137,5,3921.45
Cyprus,192,154,113,8629.05
Czech Republic,361,170,134,13200.9
Denmark,224,137,278,12515.1
Djibouti,15,44,3,939.75
Dominica,52,286,26,5175.3
Dominican Republic,193,147,9,6462.45
DR Congo,32,3,1,805.05
Ecuador,162,74,3,4739.55
Egypt,6,4,1,208.65
El Salvador,52,69,2,2085.3
Equatorial Guinea,92,0,233,6871.05
Eritrea,18,0,0,421.2
Estonia,224,194,59,8764.35
Ethiopia,20,3,0,504
Fiji,77,35,1,2242.05
Finland,263,133,97,9714.45
France,127,151,370,12276.3
Gabon,347,98,59,10490.55
Gambia,8,0,1,207.45
Georgia,52,100,149,5434.05
Germany,346,117,175,13044.15
Ghana,31,3,10,963.9
Greece,133,112,218,8870.7
Grenada,199,438,28,10479.6
Guatemala,53,69,2,2108.7
Guinea,9,0,2,251.1
Guinea-Bissau,28,31,21,1452.45
Guyana,93,302,1,5820.45
Haiti,1,326,1,3955.65
Honduras,69,98,2,2831.1
Hungary,234,215,185,11801.85
Iceland,233,61,78,7763.7
India,9,114,0,1578.6
Indonesia,5,1,0,129
Iraq,9,3,0,246.6
Ireland,313,118,165,12081.45
Israel,63,69,9,2484.45
Italy,85,42,237,7292.25
Jamaica,82,97,9,3265.05
Japan,77,202,16,4549.8
Jordan,6,21,1,412.65
Kazakhstan,124,246,12,6096.6
Kenya,58,22,2,1661.7
Kiribati,21,34,1,919.65
Kyrgyzstan,31,97,6,2010.9
Laos,62,0,123,3941.55
Latvia,281,216,62,10422.9
Lebanon,20,55,31,1755.75
Lesotho,82,29,0,2266.8
Liberia,19,152,2,2309.1
Lithuania,343,244,56,12088.2
Luxembourg,236,133,271,12606.15
Macedonia,184,27,86,6371.1
Madagascar,26,15,4,869.4
Malawi,8,11,1,339.45
Malaysia,13,4,0,352.2
Mali,5,1,1,149.25
Malta,149,100,120,7116.6
Mauritius,98,31,18,3029.7
Mexico,238,68,5,6486.45
Micronesia,62,50,18,2415.3
Moldova,109,226,18,5627.1
Mongolia,77,189,8,4231.8
Montenegro,31,114,128,4685.4
Morocco,12,6,10,555.3
Mozambique,47,18,5,1417.05
Myanmar,5,1,0,129
Namibia,376,3,1,8854.65
Nauru,49,0,8,1308.6
Nepal,5,6,0,189
Netherlands,251,88,190,10776.9
New Zealand,203,79,175,9241.95
Nicaragua,78,118,1,3261.45
Niger,3,2,1,114.45
Nigeria,42,5,2,1083.3
Niue,188,200,7,6940.95
Norway,169,71,129,7418.85
Oman,22,16,1,727.05
Palau,306,63,23,8382.15
Panama,285,104,18,8281.5
Papua New Guinea,44,39,1,1517.85
Paraguay,213,117,74,7886.7
Peru,163,160,21,6159.45
Philippines,71,186,1,3913.65
Poland,343,215,56,11740.2
Portugal,194,67,339,12208.35
Qatar,1,42,7,669.15
Romania,297,122,167,11795.55
Russian Federation,247,326,73,11170.05
Rwanda,43,2,0,1030.2
Samoa,105,18,24,3159
Sao Tome & Principe,56,38,140,4601.4
Saudi Arabia,0,5,0,60
Senegal,9,1,7,364.35
Serbia,283,131,127,10765.95
Seychelles,157,25,51,5006.55
Sierra Leone,25,3,2,661.5
Singapore,60,12,11,1770.75
Slovakia,196,293,116,10451.4
Slovenia,270,51,276,12519
Solomon Islands,56,11,1,1462.65
South Africa,225,76,81,7817.25
South Korea,140,16,9,3650.25
Spain,284,157,112,10797.6
Sri Lanka,16,104,0,1622.4
St. Kitts & Nevis,194,205,32,7647.6
St. Lucia,171,315,71,9219.15
St. Vincent & the Grenadines,120,221,11,5682.75
Sudan,8,13,0,343.2
Suriname,128,178,7,5272.95
Swaziland,90,2,2,2170.5
Sweden,152,60,186,8043.3
Switzerland,185,100,280,11199
Syria,5,35,16,861
Tajikistan,2,15,0,226.8
Tanzania,36,6,1,934.65
Thailand,99,258,1,5432.85
Timor-Leste,1,1,4,116.4
Togo,36,2,19,1251.15
Tonga,36,21,5,1195.65
Trinidad & Tobago,197,156,7,6623.55
Tunisia,51,3,20,1634.4
Turkey,51,22,7,1599.15
Turkmenistan,19,71,32,1944.6
Tuvalu,6,41,9,814.65
Uganda,45,9,0,1161
Ukraine,206,237,45,8575.65
United Arab Emirates,16,135,5,2095.65
